Año,Mes,Fecha_Pub_DOF,Clave ciudad,Nombre ciudad,División,Grupo,Clase,Subclase,Clave genérico,Genérico,Consecutivo,Especificación,Precio promedio,Cantidad,Unidad,Estatus
2024,4,20/05/2024 00:00,39,"Querétaro, Qro.","1. Alimentos, bebidas y tabaco",1.2. Bebidas alcohólicas y tabaco,1.2.1. Bebidas alcohólicas,27 Vinos y licores,105,Tequila,5,"MAYORAZGO, BLANCO, CRISTALINO, BOTELLA DE 750 ML            ",637.16,1,LT    ,
2024,4,20/05/2024 00:00,39,"Querétaro, Qro.","1. Alimentos, bebidas y tabaco",1.2. Bebidas alcohólicas y tabaco,1.2.1. Bebidas alcohólicas,27 Vinos y licores,105,Tequila,6,"CASA DRAGONES, BLANCO, BOTELLA DE 750 ML                    ",2210.81,1,LT    ,DESENCADENADO
2024,4,20/05/2024 00:00,39,"Querétaro, Qro.","1. Alimentos, bebidas y tabaco",1.2. Bebidas alcohólicas y tabaco,1.2.1. Bebidas alcohólicas,27 Vinos y licores,106,Vino de mesa,1,"LAMBRUSCO, TINTO, RIUNITE, BOTELLA DE 750 ML                ",220,1,LT    ,
2024,4,20/05/2024 00:00,39,"Querétaro, Qro.","1. Alimentos, bebidas y tabaco",1.2. Bebidas alcohólicas y tabaco,1.2.1. Bebidas alcohólicas,27 Vinos y licores,106,Vino de mesa,2,"SANGRE DE CRISTO, TINTO, BOTELLA DE 750 ML                  ",240,1,LT    ,
2024,4,20/05/2024 00:00,39,"Querétaro, Qro.","1. Alimentos, bebidas y tabaco",1.2. Bebidas alcohólicas y tabaco,1.2.1. Bebidas alcohólicas,27 Vinos y licores,106,Vino de mesa,3,"RIUNITE, TINTO, LAMBRUSCO, BOTELLA DE 750 ML                ",172,1,LT    ,
2024,4,20/05/2024 00:00,39,"Querétaro, Qro.","1. Alimentos, bebidas y tabaco",1.2. Bebidas alcohólicas y tabaco,1.2.1. Bebidas alcohólicas,27 Vinos y licores,106,Vino de mesa,4,"CONCHA Y TORO, TINTO, CASILLERO DEL  DIABLO 750 ML          ",306.67,1,LT    ,
2024,4,20/05/2024 00:00,39,"Querétaro, Qro.","1. Alimentos, bebidas y tabaco",1.2. Bebidas alcohólicas y tabaco,1.2.1. Bebidas alcohólicas,27 Vinos y licores,106,Vino de mesa,5,"LAMBRUSCO, ROSADO, LUNATO, BOTELLA 750 ML                   ",201.07,1,LT    ,
2024,4,20/05/2024 00:00,39,"Querétaro, Qro.","1. Alimentos, bebidas y tabaco",1.2. Bebidas alcohólicas y tabaco,1.2.1. Bebidas alcohólicas,27 Vinos y licores,106,Vino de mesa,6,"TORRESELLA, BLANCO, BOTELLA DE 750 ML                       ",421.11,1,LT    ,
2024,4,20/05/2024 00:00,39,"Querétaro, Qro.","1. Alimentos, bebidas y tabaco",1.2. Bebidas alcohólicas y tabaco,1.2.1. Bebidas alcohólicas,26 Cerveza,107,Cerveza,1,"SUPERIOR, CLARA, ULTRA, MICHELOB, BOTELLA DE 355 ML, NO RET ",64.79,1,LT    ,
2024,4,20/05/2024 00:00,39,"Querétaro, Qro.","1. Alimentos, bebidas y tabaco",1.2. Bebidas alcohólicas y tabaco,1.2.1. Bebidas alcohólicas,26 Cerveza,107,Cerveza,2,"CORONA, CLARA, CAJA C/24 BOTELLAS, 355 ML C/U               ",39.91,1,LT    ,
2024,4,20/05/2024 00:00,39,"Querétaro, Qro.","1. Alimentos, bebidas y tabaco",1.2. Bebidas alcohólicas y tabaco,1.2.1. Bebidas alcohólicas,26 Cerveza,107,Cerveza,3,"AMSTEL ULTRA, CLARA, 6 BOTELLAS DE 355 ML ( 2130 ML )       ",53.99,1,LT    ,DESENCADENADO
2024,4,20/05/2024 00:00,39,"Querétaro, Qro.","1. Alimentos, bebidas y tabaco",1.2. Bebidas alcohólicas y tabaco,1.2.1. Bebidas alcohólicas,26 Cerveza,107,Cerveza,4,"MODELO, CLARA, PAQ C/6 LATAS, 355 ML C/U                    ",49.3,1,LT    ,
2024,4,20/05/2024 00:00,39,"Querétaro, Qro.","1. Alimentos, bebidas y tabaco",1.2. Bebidas alcohólicas y tabaco,1.2.1. Bebidas alcohólicas,26 Cerveza,107,Cerveza,5,"TECATE, OSCURA, CAGUAMON, BOTELLA 1200 ML                   ",35,1,LT    ,
2024,4,20/05/2024 00:00,39,"Querétaro, Qro.","1. Alimentos, bebidas y tabaco",1.2. Bebidas alcohólicas y tabaco,1.2.2. Tabaco,28 Cigarrillos,108,Cigarrillos,1,"FAROS, C/FILTRO, CAJETILLA C/20 PZAS                        ",66,1,CAJETI,
2024,4,20/05/2024 00:00,39,"Querétaro, Qro.","1. Alimentos, bebidas y tabaco",1.2. Bebidas alcohólicas y tabaco,1.2.2. Tabaco,28 Cigarrillos,108,Cigarrillos,2,"CAMEL, C/FILTRO, REGULARES, C/20 PZAS                       ",80,1,CAJETI,
2024,4,20/05/2024 00:00,39,"Querétaro, Qro.","1. Alimentos, bebidas y tabaco",1.2. Bebidas alcohólicas y tabaco,1.2.2. Tabaco,28 Cigarrillos,108,Cigarrillos,3,"BENSON & HEDGES, C/FILTRO, VERDES, C/20 PZAS                ",80,1,CAJETI,
2024,4,20/05/2024 00:00,39,"Querétaro, Qro.","1. Alimentos, bebidas y tabaco",1.2. Bebidas alcohólicas y tabaco,1.2.2. Tabaco,28 Cigarrillos,108,Cigarrillos,4,"MARLBORO, C/FILTRO, ROJOS, CAJETILLA, 20 PZAS               ",80,1,CAJETI,
2024,3,22/04/2024 00:00,39,"Querétaro, Qro.","1. Alimentos, bebidas y tabaco",1.2. Bebidas alcohólicas y tabaco,1.2.1. Bebidas alcohólicas,27 Vinos y licores,102,Brandy,1,"DON PEDRO, GRAN RESERVA, ESPECIAL, BOTELLA DE 1 LT          ",225,1,LT    ,
2024,3,22/04/2024 00:00,39,"Querétaro, Qro.","1. Alimentos, bebidas y tabaco",1.2. Bebidas alcohólicas y tabaco,1.2.1. Bebidas alcohólicas,27 Vinos y licores,102,Brandy,2,"AZTECA DE ORO, RESERVA, BOTELLA DE 700 ML                   ",301.43,1,LT    ,
2024,3,22/04/2024 00:00,39,"Querétaro, Qro.","1. Alimentos, bebidas y tabaco",1.2. Bebidas alcohólicas y tabaco,1.2.1. Bebidas alcohólicas,27 Vinos y licores,102,Brandy,3,"PRESIDENTE, GRAN RESERVA, BOTELLA DE 900 ML                 ",191.11,1,LT    ,
2024,3,22/04/2024 00:00,39,"Querétaro, Qro.","1. Alimentos, bebidas y tabaco",1.2. Bebidas alcohólicas y tabaco,1.2.1. Bebidas alcohólicas,27 Vinos y licores,102,Brandy,4,"LOS REYES, AÑEJO, BOTELLA DE 900 ML                         ",116.67,1,LT    ,
2024,3,22/04/2024 00:00,39,"Querétaro, Qro.","1. Alimentos, bebidas y tabaco",1.2. Bebidas alcohólicas y tabaco,1.2.1. Bebidas alcohólicas,27 Vinos y licores,102,Brandy,5,"AZTECA DE ORO, SOLERA, BOTELLA DE 700 ML                    ",342.86,1,LT    ,
